PM2.5,PM10,NOx,NH3,CO,SO2,O3,AQI
67.45057794890306,118.12710293078136,17.15,23.48347601937197,0.92,27.64,133.36,166.4635814889336
67.45057794890306,118.12710293078136,16.46,23.48347601937197,0.97,24.55,34.06,166.4635814889336
67.45057794890306,118.12710293078136,29.7,23.48347601937197,17.4,29.07,30.7,166.4635814889336
67.45057794890306,118.12710293078136,17.97,23.48347601937197,1.7,18.59,36.08,166.4635814889336
67.45057794890306,118.12710293078136,37.76,23.48347601937197,22.1,39.33,39.31,166.4635814889336
67.45057794890306,118.12710293078136,81.5,23.48347601937197,45.41,45.76,46.51,166.4635814889336
67.45057794890306,118.12710293078136,130.77,23.48347601937197,112.16,32.28,33.47,166.4635814889336
67.45057794890306,118.12710293078136,96.75,23.48347601937197,80.87,38.54,31.89,166.4635814889336
67.45057794890306,118.12710293078136,48.0,23.48347601937197,29.16,58.68,25.75,166.4635814889336
67.45057794890306,118.12710293078136,0.0,23.48347601937197,2.2485982090856145,8.29,4.55,166.4635814889336
67.45057794890306,118.12710293078136,24.53,23.48347601937197,132.07,25.03,6.79,166.4635814889336
67.45057794890306,118.12710293078136,90.24,23.48347601937197,52.04,51.84,45.89,166.4635814889336
67.45057794890306,118.12710293078136,87.09,23.48347601937197,48.82,68.21,35.16,166.4635814889336
67.45057794890306,118.12710293078136,33.05,23.48347601937197,19.2,52.65,20.96,166.4635814889336
67.45057794890306,118.12710293078136,16.6,23.48347601937197,0.6,28.89,47.63,166.4635814889336
67.45057794890306,118.12710293078136,22.86,23.48347601937197,1.63,38.27,46.03,166.4635814889336
67.45057794890306,118.12710293078136,34.75,23.48347601937197,11.44,49.5,52.24,166.4635814889336
67.45057794890306,118.12710293078136,29.57,23.48347601937197,6.1,48.43,53.49,166.4635814889336
67.45057794890306,118.12710293078136,27.45,23.48347601937197,2.51,50.03,49.48,166.4635814889336
67.45057794890306,118.12710293078136,32.4,23.48347601937197,7.92,58.87,56.37,166.4635814889336
67.45057794890306,118.12710293078136,39.28,23.48347601937197,9.52,106.93,48.75,166.4635814889336
67.45057794890306,118.12710293078136,22.33,23.48347601937197,9.05,23.71,42.22,166.4635814889336
67.45057794890306,118.12710293078136,47.79,23.48347601937197,22.53,39.19,32.92,166.4635814889336
67.45057794890306,118.12710293078136,21.4,23.48347601937197,2.03,40.07,32.49,166.4635814889336
67.45057794890306,118.12710293078136,20.19,23.48347601937197,1.42,58.41,39.26,166.4635814889336
67.45057794890306,118.12710293078136,21.81,23.48347601937197,2.27,43.73,39.83,166.4635814889336
67.45057794890306,118.12710293078136,23.26,23.48347601937197,2.19,43.28,41.1,166.4635814889336
73.24,118.12710293078136,25.84,23.48347601937197,5.72,36.52,62.42,166.4635814889336
83.13,118.12710293078136,33.72,23.48347601937197,6.93,49.52,59.76,209.0
79.84,118.12710293078136,41.08,23.48347601937197,13.85,48.49,97.07,328.0
94.52,118.12710293078136,52.61,23.48347601937197,24.39,67.39,111.33,514.0
135.99,118.12710293078136,84.57,23.48347601937197,43.48,75.23,102.7,782.0
178.33,118.12710293078136,72.8,23.48347601937197,54.56,55.04,107.38,914.0
139.7,118.12710293078136,56.73,23.48347601937197,30.61,33.79,73.6,660.0
80.65,118.12710293078136,24.0,23.48347601937197,2.37,25.73,47.3,294.0
58.36,118.12710293078136,23.31,23.48347601937197,2.6,32.66,53.54,149.0
79.29,118.12710293078136,26.83,23.48347601937197,1.16,67.41,59.3,190.0
88.7,118.12710293078136,37.73,23.48347601937197,7.29,80.09,44.76,247.0
74.28,118.12710293078136,33.42,23.48347601937197,8.92,54.28,47.42,379.0
113.93,118.12710293078136,26.86,23.48347601937197,4.32,48.73,39.94,341.0
105.39,118.12710293078136,18.75,23.48347601937197,1.41,35.91,56.15,256.0
66.52,118.12710293078136,28.24,23.48347601937197,6.34,66.58,53.14,388.0
65.04,118.12710293078136,44.21,23.48347601937197,14.19,65.91,31.88,288.0
103.36,118.12710293078136,57.33,23.48347601937197,18.18,80.43,40.11,510.0
177.33,118.12710293078136,77.85,23.48347601937197,37.49,99.72,36.47,761.0
113.25,118.12710293078136,44.87,23.48347601937197,15.55,69.71,33.78,475.0
99.7,118.12710293078136,47.31,23.48347601937197,19.85,73.23,30.57,536.0
80.61,118.12710293078136,35.67,23.48347601937197,15.96,54.7,36.2,479.0
100.79,118.12710293078136,41.91,23.48347601937197,16.24,43.11,37.43,592.0
107.99,118.12710293078136,40.47,23.48347601937197,11.25,84.86,31.94,427.0
140.29,118.12710293078136,68.85,23.48347601937197,33.84,101.53,40.98,588.0
239.96,118.12710293078136,106.92,23.48347601937197,61.95,84.87,33.55,1141.0
142.96,118.12710293078136,92.32,23.48347601937197,45.45,62.96,34.77,669.0
238.41,118.12710293078136,131.32,23.48347601937197,77.7,89.07,37.3,1247.0
118.72,118.12710293078136,42.56,23.48347601937197,12.56,61.54,38.8,411.0
52.99,118.12710293078136,10.39,23.48347601937197,2.23,32.76,67.25,292.0
67.45057794890306,118.12710293078136,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
67.45057794890306,118.12710293078136,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
67.45057794890306,118.12710293078136,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
61.12,118.12710293078136,20.92,23.48347601937197,3.58,28.44,30.48,166.4635814889336
60.78,118.12710293078136,27.34,23.48347601937197,9.07,29.48,34.75,189.0
91.83,118.12710293078136,40.76,23.48347601937197,12.99,39.71,38.46,408.0
93.88,118.12710293078136,47.01,23.48347601937197,18.21,62.75,46.79,383.0
173.01,118.12710293078136,90.73,23.48347601937197,48.44,78.76,59.39,780.0
67.45057794890306,118.12710293078136,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336
105.45,118.12710293078136,18.66,23.48347601937197,2.5,29.29,69.9,166.4635814889336
71.56,118.12710293078136,20.32,23.48347601937197,3.51,30.28,57.16,190.0
119.8,118.12710293078136,27.9,23.48347601937197,4.13,50.35,50.49,233.0
106.71,118.12710293078136,30.51,23.48347601937197,5.39,38.85,60.17,297.0
118.49,118.12710293078136,31.83,23.48347601937197,4.11,54.2,53.61,330.0
106.01,118.12710293078136,30.54,23.48347601937197,4.28,70.29,40.91,252.0
97.34,118.12710293078136,24.62,23.48347601937197,3.67,64.39,45.69,244.0
83.92,118.12710293078136,30.8,23.48347601937197,6.42,67.53,34.94,234.0
49.51,118.12710293078136,16.15,23.48347601937197,3.1,48.33,37.95,219.0
30.76,118.12710293078136,16.98,23.48347601937197,2.72,43.62,54.78,118.0
50.29,118.12710293078136,33.28,23.48347601937197,5.34,59.23,45.44,231.0
57.69,118.12710293078136,54.79,23.48347601937197,25.36,58.33,52.87,286.0
105.06,118.12710293078136,82.23,23.48347601937197,46.24,53.62,45.65,883.0
94.1,118.12710293078136,57.49,23.48347601937197,22.14,61.31,46.77,720.0
111.89,118.12710293078136,64.53,23.48347601937197,22.25,66.44,50.57,570.0
108.59,118.12710293078136,63.01,23.48347601937197,25.38,75.8,46.68,589.0
130.76,118.12710293078136,85.76,23.48347601937197,45.61,65.77,41.58,818.0
143.55,118.12710293078136,57.16,23.48347601937197,27.3,50.98,35.38,737.0
165.07,118.12710293078136,57.71,23.48347601937197,23.83,64.32,43.79,585.0
166.85,118.12710293078136,60.07,23.48347601937197,17.93,79.71,53.44,616.0
147.38,118.12710293078136,40.22,23.48347601937197,6.4,46.89,17.94,437.0
158.25,118.12710293078136,32.65,23.48347601937197,5.86,142.36,38.54,321.0
237.76,118.12710293078136,25.37,23.48347601937197,4.99,96.28,39.77,372.0
133.37,118.12710293078136,21.02,23.48347601937197,3.88,57.34,39.66,339.0
133.3,118.12710293078136,26.18,23.48347601937197,6.52,51.58,59.03,339.0
96.04,118.12710293078136,23.46,23.48347601937197,3.8,62.42,46.61,324.0
77.69,118.12710293078136,23.06,23.48347601937197,5.24,100.48,27.14,222.0
53.07,118.12710293078136,17.45,23.48347601937197,4.17,40.36,21.76,169.0
63.11,118.12710293078136,18.49,23.48347601937197,5.63,38.21,4.72,220.0
156.76,118.12710293078136,20.97,23.48347601937197,3.92,26.32,37.11,166.4635814889336
120.96,118.12710293078136,25.02,23.48347601937197,4.23,35.54,35.66,303.0
138.63,118.12710293078136,30.67,23.48347601937197,5.65,87.43,29.77,314.0
144.36,118.12710293078136,46.1,23.48347601937197,15.82,66.39,27.34,378.0
85.03,118.12710293078136,27.41,23.48347601937197,3.3,59.16,35.89,415.0
134.6,118.12710293078136,28.7,23.48347601937197,5.9,34.53,7.0,166.4635814889336
61.06,118.12710293078136,17.59,23.48347601937197,3.52,8.08,19.54,126.0
39.42,118.12710293078136,24.66,23.48347601937197,5.28,17.66,31.3,175.0
111.86,118.12710293078136,25.17,23.48347601937197,3.89,15.84,31.23,226.0
58.37,118.12710293078136,27.69,23.48347601937197,5.74,25.9,43.92,244.0
95.37,118.12710293078136,44.34,23.48347601937197,18.01,13.59,41.64,315.0
141.3,118.12710293078136,66.53,23.48347601937197,30.8,41.06,37.66,678.0
106.68,118.12710293078136,54.77,23.48347601937197,19.91,31.56,48.49,774.0
